English,Russian
control,контроль
cost,Стоимость
could,мог
country,страна
couple,пара
course,курс
court,корт
cover,покрытие
create,Создайте
crime,преступление
cultural,культурный
culture,культура
cup,чашка
current,Текущий
customer,клиент
cut,резать
dark,темный
data,данные
daughter,дочь
day,день
dead,мертвых
deal,иметь дело
death,смерть
debate,обсуждение
decade,десятилетие
decide,решать
decision,решение
deep,глубокий
defense,защита
degree,степень
Democrat,демократ
democratic,демократической
describe,описывать
design,дизайн
despite,несмотря на
detail,подробно
determine,определять
develop,развивать
development,разработка
die,умри
difference,разница
different,разные
difficult,трудный
dinner,обед
direction,направление
director,директор
discover,обнаружить
discuss,обсуждать
discussion,обсуждение
disease,болезнь
do,делать
doctor,доктор
dog,собака
door,дверь
down,вниз
draw,рисовать
dream,мечтать
drive,привод
drop,уронить
drug,лекарство
during,в течение
each,каждый
early,рано
east,Восток
easy,легкий
eat,есть
economic,экономической
economy,экономика
edge,край
education,образование
effect,эффект
effort,усилие
eight,восемь
either,либо
election,выборы
else,еще
employee,работник
end,конец
energy,энергия
enjoy,наслаждаться
enough,достаточно
enter,входить
entire,весь
environment,среда
environmental,относящийся к окружающей среде
especially,особенно
establish,учреждать
even,четный
evening,вечер
event,мероприятие
ever,Когда-либо
every,каждый
everybody,все
everyone,все
everything,все
evidence,свидетельство
exactly,точно
example,пример
executive,исполнительный
exist,существовать
expect,ожидать
experience,опыт
expert,эксперт
explain,объяснять
eye,глаз
face,лицо
fact,факт
factor,фактор
fail,неудача
fall,Осень
family,семья
far,далеко
fast,быстрый
father,отец
fear,страх
federal,федеральный
feel,Чувствовать
feeling,чувство
few,немного
field,поле
fight,Борьба
figure,фигура
fill,наполнять
film,фильм
final,окончательный
finally,наконец-то
financial,финансовый
find,найти
fine,отлично
finger,Палец
finish,финиш
fire,Пожар
firm,фирма
first,первый
fish,рыбы
five,пять
fly,летать
focus,фокус
follow,следить
food,еда
foot,стопа
for,для
force,сила
foreign,иностранный
forget,забывать
form,форма
former,бывший
forward,вперед
four,четыре
free,бесплатно
friend,друг
from,из
front,фронт
full,полный
fund,фонд
future,будущее
game,игра
garden,сад
gas,газ
general,Генеральная
generation,поколение
get,получать
girl,девочка
give,дайте
glass,стекло
go,идти
goal,Цель
good,хорошо
government,правительство
great,большой
green,зеленый
ground,земля
group,группа
grow,расти
growth,рост
guess,угадать
gun,пистолет
guy,парень
hair,волосы
half,половина
hand,рука
hang,вешать
happen,случаться
happy,счастливый
hard,жесткий
have,имеют
he,он
head,глава
health,здоровье
hear,слышать
heart,сердце
heat,нагревать
heavy,тяжелый
help,помощь
her,ее
here,здесь
herself,саму себя
high,высокая
him,ему
himself,сам
his,его
history,история
hit,ударить
hold,держать
home,дом
hope,надеяться
hospital,больница
hot,горячий
hotel,отель
hour,час
house,жилой дом
how,как
however,тем не мение
huge,огромный
human,человек
hundred,сто
husband,муж
I,я
idea,идея
identify,идентифицировать
if,если
image,изображение
imagine,представить
impact,влияние
important,важный
improve,улучшать
in,в
include,включать
including,в том числе
increase,увеличивать
indeed,действительно
indicate,указывать
individual,физическое лицо
industry,промышленность
information,Информация
inside,внутри
instead,вместо
institution,учреждение
interest,интерес
interesting,интересно
international,Международный
interview,интервью
into,в
investment,инвестиции
involve,вовлекать
issue,проблема
it,Это
item,пункт
its,это
itself,сам
job,работа
join,присоединиться
just,просто
keep,хранить
key,ключ
kid,дитя
kill,убийство
kind,своего рода
kitchen,кухня
know,знать
knowledge,знание
land,земля
language,язык
large,большой
last,последний
late,поздно
later,позже
laugh,смех
law,закон
lawyer,юрист
lay,класть
lead,Свинец
leader,лидер
learn,учить
least,наименее
leave,покинуть
left,оставил
leg,нога
legal,правовой
less,меньше
let,позволять
letter,письмо
level,уровень
lie,ложь
life,жизнь
light,свет
like,нравиться
likely,вероятный
line,линия
list,список
listen,Слушать
little,маленький
live,жить
local,местный
long,длинный
look,смотрю
lose,терять
loss,потеря
lot,много
love,любовь
low,низкий
machine,машина
magazine,журнал
main,основной
maintain,поддерживать
major,главный
majority,большинство
make,делать
man,человек
manage,управлять
management,управление
manager,менеджер
many,многие
market,рынок
marriage,брак
material,материал
matter,иметь значение
may,май
maybe,может быть
me,меня
mean,иметь в виду
measure,мера
media,СМИ
medical,медицинская
meet,встретиться
meeting,встреча
member,член
memory,объем памяти
mention,упомянуть
message,сообщение
method,метод
middle,середина
might,мощь
military,военный
million,миллиона
mind,разум
minute,минут
miss,скучать
mission,миссия
model,модель
modern,современный
moment,момент
money,Деньги
month,месяц
more,более
morning,утро
most,наиболее
mother,мама
mouth,рот
move,двигаться
movement,движение
movie,кино
Mr,Мистер
Mrs,Миссис
much,много
music,Музыка
must,должен
my,мой
myself,сам
name,название
nation,нация
national,национальный
natural,естественный
nature,природа
near,возле
nearly,Около
necessary,нужно
need,нужно
network,сеть
never,никогда
new,новый
news,Новости
newspaper,газета
next,следующий
nice,красивый
night,ночь
no,нет
none,никто
nor,ни
north,к северу
not,нет
note,Примечание
nothing,ничего такого
notice,уведомление
now,сейчас
n't,не
number,номер
occur,происходить
of,из
off,выключенный
offer,предложение
office,офис
officer,сотрудник
official,официальный
often,довольно часто
oh,ой
oil,масло
ok,ОК
old,Старый
on,на
once,однажды
one,один
only,Только
onto,на
open,открыто
operation,операция
opportunity,возможность
option,вариант
or,или же
order,заказывать
organization,организация
other,Другие
others,другие
our,наш
out,вне
outside,за пределами
over,над
own,собственный
owner,владелец
page,страница
pain,боль
painting,картина
paper,бумага
parent,родитель
part,часть
participant,участник
particular,специфический
particularly,особенно
partner,партнер
party,вечеринка
pass,проходить
past,мимо
patient,пациент
pattern,шаблон
pay,платить
peace,мир
people,люди
per,в
perform,выполнять
performance,представление
perhaps,возможно
period,период
person,человек
personal,личный
phone,Телефон
physical,физическое
pick,выбирать
picture,картина
piece,кусок
place,место
plan,строить планы
plant,растение
play,играть
player,игрок
PM,ВЕЧЕРА
point,точка
police,полиция
policy,политика
political,политическая
politics,политика
poor,бедные
popular,популярный
population,Население
position,должность
positive,положительный
possible,возможный
power,мощность
practice,упражняться
prepare,подготовить
present,настоящее время
president,президент
pressure,давление
pretty,симпатичный
prevent,предотвращать
price,цена
private,частный
probably,наверное
problem,проблема
process,процесс
produce,производить
product,продукт
production,производство
professional,профессиональный
professor,профессор
program,программа
project,проект
property,имущество
protect,защищать
prove,доказывать
provide,предоставлять
public,общественности
pull,тянуть
purpose,цель
push,толкать
put,ставить
quality,качество
question,вопрос
quickly,быстро
quite,довольно
race,гонка
radio,радио
raise,поднимать
range,диапазон
rate,показатель
rather,скорее
reach,достигать
read,читать
ready,готовы
real,настоящий
reality,реальность
realize,понимать
really,В самом деле
reason,причина
receive,получить
recent,недавний
recently,совсем недавно
recognize,распознавать
record,записывать
red,красный
reduce,уменьшать
reflect,отражать
region,"область, край"
relate,относиться
relationship,отношение
religious,религиозная
remain,оставаться
remember,помнить
remove,Удалить
report,отчет
represent,представлять
Republican,республиканец
require,требовать
research,исследовать
resource,ресурс
respond,отвечать
response,отклик
responsibility,обязанность
rest,отдых
result,результат
return,возвращаться
reveal,раскрывать
rich,богатый
right,верно
rise,подъем
risk,риск
road,Дорога
rock,рок
role,роль
room,номер
rule,правило
run,запустить
safe,безопасный
same,одно и тоже
save,спасти
say,сказать
scene,сцена
school,школа
science,наука
scientist,ученый
score,счет
sea,море
season,время года
seat,сиденье
second,второй
section,раздел
security,безопасность
see,видеть
seek,стремиться
seem,казаться
sell,продавать
send,Отправить
senior,старший
sense,смысл
series,ряд
serious,серьезный
serve,обслуживать
service,услуга
set,набор
seven,Семь
several,несколько
sex,секс
sexual,половой
shake,сотрясения
share,Поделиться
she,она
shoot,стрелять
short,короткая
shot,выстрелил
should,должен
shoulder,плечо
show,показывать
side,боковая сторона
sign,знак
significant,значительный
similar,похожий
simple,просто
simply,просто
since,поскольку
sing,петь
single,Один
sister,сестра
sit,сидеть
site,сайт
situation,ситуация
six,шесть
size,размер
skill,навык
skin,кожа
small,небольшой
smile,улыбка
so,так
social,Социальное
society,общество
soldier,солдат
some,некоторый
somebody,кто-нибудь
someone,кто-то
something,что-нибудь
sometimes,иногда
son,сын
song,песня
soon,скоро
sort,Сортировать
sound,звук
source,источник
south,юг
southern,южный
space,космос
speak,говорить
special,специальный
specific,конкретный
speech,речь
spend,проводить
sport,спорт
spring,весна
staff,персонал
stage,сцена
stand,стоять
standard,стандарт
star,звезда
start,Начало
state,государственный
statement,утверждение
station,станция
stay,остаться
step,шаг
still,по-прежнему
stock,склад
store,хранить
story,сказка
strategy,стратегия
street,улица
strong,сильный
structure,состав
student,ученик
study,изучение
stuff,вещи
style,стиль
subject,предмет
success,успех
successful,успешный
such,такой
suddenly,"вдруг, внезапно"
suffer,страдать
suggest,предложить
summer,летом
support,служба поддержки
sure,Конечно
surface,поверхность
system,система
table,Таблица
take,брать
talk,говорить
task,задача
tax,налог
teach,учить
teacher,учитель
team,команда
technology,технология
television,телевидение
ten,десять
tend,иметь тенденцию
term,срок
test,контрольная работа
than,чем
thank,благодарить
that,что
the,
their,их
them,их
themselves,сами себя
then,тогда
theory,теория
there,там
these,эти
they,Они
thing,вещь
think,считать
third,в третьих
this,это
those,те
though,хоть
thought,мысль
thousand,тысяча
threat,угроза
three,три
through,через
throughout,через
throw,бросать
thus,таким образом
time,время
to,к
today,Cегодня
together,все вместе
tonight,сегодня ночью
too,тоже
top,вершина
total,общее
tough,жесткий
toward,к
town,городок
trade,торговля
traditional,традиционный
training,обучение
travel,путешествовать
treat,удовольствие
treatment,лечение
tree,дерево
trial,пробный
trip,поездка
trouble,беда
TRUE,ПРАВДА
truth,правда
try,пытаться
turn,повернуть
TV,Телевизор
two,два
type,тип
under,под
understand,понимать
unit,Ед. изм
until,до того как
up,вверх
upon,на
us,нас
use,использовать
usually,обычно
value,значение
various,разные
very,очень
victim,жертва
view,Посмотреть
violence,насилие
visit,посещение
voice,голос
vote,голосование
wait,ждать
walk,ходить
wall,стена
want,хочу
war,война
watch,смотреть
water,вода
way,способ
we,мы
weapon,оружие
wear,носить
week,неделя
weight,масса
well,хорошо
west,Запад
western,вестерн
what,какие
whatever,что бы ни
when,когда
where,где
whether,ли
which,который
while,пока
white,белый
who,кто
whole,весь
whom,кому
whose,чей
why,Зачем
wide,широкий
wife,жена
will,будут
win,выиграть
wind,ветер
window,окно
wish,желание
with,с участием
within,в
without,без
woman,женщина
wonder,удивляться
word,слово
work,Работа
worker,работник
world,Мир
worry,волноваться
would,было бы
write,написать
writer,писатель
wrong,неправильный
yard,площадка
yeah,Ага
year,год
yes,да
yet,еще
you,ты
young,молодой
your,ваш
yourself,сам
